ped,type,time(s),x(cm),y(cm),density(m-2)
1,0,0,233.17,-269.242,-1
1,0,0.0333666677470319,233.17,-269.242,0.773344174633055
1,0,0.0667333354940638,233.17,-269.242,0.773344174633055
1,0,0.100100003241096,233.17,-269.242,0.774183122449876
1,0,0.133466670988128,233.17,-269.242,0.774173965154536
1,0,0.166833338735159,233.17,-269.242,0.773319498801445
1,0,0.200200006482191,233.17,-269.242,0.772786222330133
1,0,0.233566674229223,233.17,-269.242,0.772906821258091
1,0,0.266933341976255,233.17,-269.242,0.772665917050916
1,0,0.300300009723287,232.871,-269.303,0.773609727962249
1,0,0.333666677463043,232.645,-269.238,0.773611875871343
1,0,0.367033345210075,232.643,-269.501,0.773896514695803
1,0,0.400400012957107,232.651,-269.539,0.779229392063041
1,0,0.433766680704139,232.378,-269.213,0.77997454873166
1,0,0.467133348451171,232.384,-268.974,0.780574065023339
1,0,0.500500016198203,232.457,-269.736,0.774014227228462
1,0,0.533866683945234,232.364,-269.797,0.773509299025292
1,0,0.567233351692266,232.009,-270.094,0.773142886605049
1,0,0.600600019439298,231.772,-270.047,0.77367619756508
1,0,0.63396668718633,231.482,-270.228,0.772412684275766
1,0,0.667333354933362,231.247,-270.043,0.773700140751177
1,0,0.700700022680394,230.951,-270.421,0.769512754619361
1,0,0.734066690427426,231.008,-270.383,0.771769280487638
1,0,0.767433358174458,230.441,-270.565,0.770454847747027
1,0,0.80080002592149,230.458,-270.62,0.768516086256453
1,0,0.834166693668521,230.223,-270.308,0.769029090764797
1,0,0.867533361415553,230.482,-270.432,0.768358339293921
1,0,0.900900029162585,229.876,-270.664,0.770264996428697
1,0,0.934266696902341,230.527,-270.072,0.76893595401919
1,0,0.967633364649373,230.166,-270.587,0.768745763371969
1,0,1.00100003239641,229.798,-270.637,0.768308636682036
1,0,1.03436670014344,229.395,-270.752,0.765937980525604
1,0,1.06773336789047,229.347,-270.583,0.768352798116581
1,0,1.1011000356375,229.272,-270.633,0.767175443851639
1,0,1.13446670338453,229.167,-270.685,0.768373396116464
1,0,1.16783337113156,228.904,-270.683,0.767291348692974
1,0,1.2012000388786,228.414,-270.368,0.769043173096842
1,0,1.23456670662563,229.096,-269.857,0.769708624859686
1,0,1.26793337437266,228.831,-269.868,0.769452015273825
1,0,1.30130004211969,228.934,-269.586,0.769930886296285
1,0,1.33466670986672,228.317,-270.251,0.769783147164189
1,0,1.36803337761376,227.805,-270.045,0.771610797211473
1,0,1.40140004536079,227.385,-269.99,0.772656710961058
1,0,1.43476671310782,226.951,-269.95,0.771906208005797
1,0,1.46813338085485,227.33,-269.369,0.77272832266045
1,0,1.50150004860188,226.279,-269.561,0.773399824675608
1,0,1.53486671634164,225.71,-269.137,0.77504482841046
1,0,1.56823338408867,226.427,-269.088,0.775380965324752
1,0,1.6016000518357,226.083,-268.974,0.776255298621445
1,0,1.63496671958274,225.062,-268.733,0.775865902359906
1,0,1.66833338732977,225.483,-268.419,0.777122128054489
1,0,1.7017000550768,224.114,-268.93,0.777070522584659
1,0,1.73506672282383,224.091,-268.777,0.776104828056023
1,0,1.76843339057086,223.923,-268.659,0.776723229696398
1,0,1.80180005831789,223.576,-268.588,0.776750780183085
1,0,1.83516672606493,223.605,-268.603,0.777448749895676
1,0,1.86853339381196,223.55,-268.403,0.776996415238034
1,0,1.90190006155899,223.258,-268.274,0.77656722753988
1,0,1.93526672930602,223.203,-268.408,0.776511262055521
1,0,1.96863339705305,223.203,-268.408,0.776511262055521
1,0,2.00200006480009,223.203,-268.408,0.776649351374787
1,0,2.03536673254712,222.993,-268.41,0.776037261333546
1,0,2.06873340029415,222.997,-268.433,0.775270210932629
1,0,2.10210006804118,222.912,-268.337,0.775381888728267
1,0,2.13546673578821,223.053,-268.58,0.773111885156122
1,0,2.16883340352797,223.819,-267.875,0.773038252928442
1,0,2.202200071275,222.552,-268.359,0.772683248150224
1,0,2.23556673902203,222.63,-268.353,0.772488282019125
1,0,2.26893340676907,222.514,-268.298,0.77171791931849
1,0,2.3023000745161,223.378,-267.847,0.771029951736489
1,0,2.33566674226313,223.108,-267.47,0.771572161947908
1,0,2.36903341001016,222.082,-267.488,0.771258835345779
1,0,2.40240007775719,222.122,-267.51,0.770985860214605
1,0,2.43576674550422,222.045,-267.273,0.770390567990192
1,0,2.46913341325126,221.825,-266.844,0.771715806433093
1,0,2.50250008099829,221.94,-266.587,0.770997930000921
1,0,2.53586674874532,221.903,-266.17,0.768427194557069
1,0,2.56923341649235,222.427,-265.226,0.770859020563873
1,0,2.60260008423938,222.296,-265.094,0.77021689630824
1,0,2.63596675198642,221.872,-264.689,0.770871886980424
